task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points,val_mse,val_rmse,val_mae,val_r2,val_points,test_mse,test_rmse,test_mae,test_r2,test_points
0,0,4,0,20,generated,0,8,0.13804881274700165,0.0007680333801545203,475273.59375,689.40087890625,429.3492126464844,0.6919063454612329,12,20356.712890625,142.6769561767578,75.50262451171875,0.9566898504186532,4,35849.69921875,189.3401641845703,99.34672546386719,0.9688873419422146,4
1,0,4,1000,22,scratch,1,15,0.017156338319182396,0.016117388382554054,21220.443359375,145.67237854003906,70.47845458984375,0.9833517808575364,14,41009.44140625,202.50787353515625,142.13088989257812,0.9704630666147768,4,4595.083984375,67.78704833984375,48.235103607177734,0.9940112233464725,4
2,0,4,2000,21,generated,0,52,0.005222083535045385,0.0012617225293070078,3341.18896484375,57.80302047729492,31.313472747802734,0.9973995288805092,13,7209.62890625,84.90953063964844,60.827274322509766,0.9947272439019526,4,6774.037109375,82.3045425415039,57.43739318847656,0.9913350847350242,4
3,0,4,3000,20,scratch,1,13,0.01652880758047104,0.0017772819846868515,38979.2890625,197.43173217773438,131.5892333984375,0.9745296631619471,12,23945.685546875,154.7439422607422,96.2928695678711,0.9359870190069266,4,73115.5546875,270.3988952636719,191.09747314453125,0.9238658209733795,4
4,0,4,4000,22,scratch,1,43,0.010048062540590763,0.0008757683681324124,1376.1326904296875,37.09626388549805,24.76237678527832,0.9989441033224367,14,9573.42578125,97.84388732910156,55.22597122192383,0.9917769189874962,4,13599.2646484375,116.61588287353516,83.88397216796875,0.9767304424923184,4
5,0,4,5000,21,scratch,1,41,0.011122283525764942,0.0019787740893661976,1665.04248046875,40.804931640625,28.140459060668945,0.9986734746057886,13,159.44961547851562,12.627336502075195,7.012596130371094,0.9998784647001285,4,121.72322845458984,11.032825469970703,5.807216644287109,0.9998218217673547,4
6,0,4,6000,22,scratch,1,11,0.009409522637724876,0.005951096769422293,9895.283203125,99.47503662109375,57.66092300415039,0.9921292528043568,14,8894.859375,94.31256103515625,61.08534240722656,0.9909786769104925,4,17223.171875,131.23707580566406,91.00513458251953,0.9591684215601087,4
7,0,4,7000,25,generated,0,49,0.02381056174635887,0.001467666239477694,3806.772705078125,61.69905090332031,29.85439682006836,0.9961404514108987,15,6672.7294921875,81.68677520751953,40.19783020019531,0.9943943618212505,5,13415.1953125,115.82398223876953,64.36260986328125,0.986833581303671,5
8,0,4,8000,23,scratch,1,11,0.014267072081565857,0.010990659706294537,43325.54296875,208.14788818359375,103.74995422363281,0.9618727147086396,13,9003.517578125,94.8868637084961,61.8017578125,0.9891267688830012,5,33929.5390625,184.19972229003906,136.046875,0.9685399831759328,5
9,0,4,9000,24,generated,0,17,0.14026404917240143,0.0009575882577337325,2940.49365234375,54.226318359375,23.59636878967285,0.9971095286856165,14,9648.1435546875,98.22496032714844,67.45387268066406,0.9892364947672807,5,2119.04931640625,46.03313446044922,35.68737030029297,0.9980316003857089,5
10,0,4,10000,23,generated,0,8,0.022485744208097458,0.0014975329395383596,33324.859375,182.5509796142578,115.0484619140625,0.9700630896961872,13,5903.69580078125,76.83551025390625,58.72123336791992,0.9931756891186805,5,14277.732421875,119.48946380615234,77.69498443603516,0.9864176935377112,5
11,0,5,0,20,generated,0,13,0.07650101184844971,0.0004492151492740959,42862.4765625,207.0325469970703,121.08878326416016,0.9719755242893102,12,37196.66015625,192.86434936523438,128.95472717285156,0.9301167365177779,4,40101.796875,200.25433349609375,134.49510192871094,0.9608905209884111,4
12,0,5,1000,22,generated,0,19,0.009756755083799362,0.002550149569287896,2981.439453125,54.60255813598633,27.589401245117188,0.9975160034528647,14,17483.1953125,132.22402954101562,89.48934173583984,0.9879285710980783,4,1813.54296875,42.58571243286133,29.202966690063477,0.9976072822350976,4
13,0,5,2000,23,scratch,1,62,0.018420686945319176,0.0002948147593997419,3509.398193359375,59.24017333984375,30.057302474975586,0.9974133073717862,13,10426.466796875,102.11006927490234,77.24639892578125,0.9861500531618487,5,32806.23046875,181.12490844726562,110.3388900756836,0.9648182365766549,5
14,0,5,3000,21,generated,0,35,0.016374383121728897,0.01766272261738777,9773.404296875,98.86052703857422,55.60352325439453,0.9918481416464505,13,55491.97265625,235.5673370361328,166.78350830078125,0.9597153834952934,4,31434.654296875,177.29820251464844,98.80206298828125,0.9549012797125914,4
15,0,5,4000,23,scratch,1,22,0.06875424087047577,0.0012126719811931252,1785.739990234375,42.258018493652344,23.80739402770996,0.9985546197517872,13,20393.078125,142.80433654785156,102.02720642089844,0.9732620304892655,5,28174.90234375,167.8538055419922,120.44514465332031,0.9713194242249212,5
16,0,5,5000,22,generated,0,34,0.005695535335689783,0.00040359669947065413,1338.8861083984375,36.59079360961914,24.38762855529785,0.9989319078204196,14,19424.142578125,139.3705291748047,96.9996566772461,0.9819619762636224,4,1016.2803344726562,31.879152297973633,23.511043548583984,0.9977872200545683,4
17,0,5,6000,22,generated,0,20,0.009627660736441612,0.00919696968048811,13388.2763671875,115.70771789550781,68.65459442138672,0.9891594941484494,14,29427.97265625,171.54583740234375,95.34024810791016,0.9664023783577279,4,19040.001953125,137.9855194091797,71.79290771484375,0.9534277794412669,4
18,0,5,7000,24,scratch,1,37,0.003974545747041702,0.0009984037606045604,1861.0782470703125,43.14021682739258,26.439111709594727,0.9981055654864791,14,4059.729248046875,63.71600341796875,38.66093444824219,0.9953039998714514,5,2684.148681640625,51.80876922607422,39.97600555419922,0.9976681179959562,5
19,0,5,8000,25,generated,0,18,0.004492363892495632,0.0024003854487091303,4074.05859375,63.82835388183594,34.873497009277344,0.9954664389476017,15,6461.9658203125,80.3863525390625,37.48958206176758,0.9947947018646881,5,1984.659912109375,44.549522399902344,23.59484100341797,0.9978488537269261,5
20,0,5,9000,24,generated,0,14,0.007479116320610046,0.000186275239684619,2840.413330078125,53.295528411865234,31.495834350585938,0.9968317512256475,14,2023.4234619140625,44.982479095458984,26.96590232849121,0.9977951663205515,5,5754.064453125,75.85555267333984,40.980064392089844,0.9950932258033779,5
21,0,5,10000,22,generated,0,11,0.002739937277510762,0.008441348560154438,6571.68505859375,81.06593322753906,47.98956298828125,0.9939279915889233,14,9901.1240234375,99.50439453125,67.28650665283203,0.990439325557795,4,1961.1173095703125,44.28450393676758,27.54782485961914,0.9966898776234677,4
22,0,6,0,19,generated,0,10,0.07306711375713348,0.001019650837406516,69917.96875,264.4200744628906,179.04547119140625,0.9487582458016667,11,193829.796875,440.26104736328125,305.8650817871094,0.8740037122675308,4,116640.6171875,341.5268859863281,244.4547882080078,0.8663822492222151,4
23,0,6,1000,22,generated,0,32,0.11825142055749893,0.012139610946178436,16732.24609375,129.35317993164062,79.05146026611328,0.9877985115587641,14,5894.19970703125,76.77368927001953,50.162166595458984,0.9948393101301012,4,6402.39306640625,80.01495361328125,56.82820510864258,0.9907091353380375,4
24,0,6,2000,21,scratch,1,29,0.031874075531959534,0.0006733217160217464,534.1079711914062,23.110776901245117,15.72523307800293,0.9995990306225272,13,4548.90283203125,67.445556640625,48.34291076660156,0.996450095291173,4,6074.0146484375,77.93596649169922,44.51411819458008,0.990783042858739,4
25,0,6,3000,22,generated,0,21,0.035024672746658325,0.024391617625951767,31546.861328125,177.61436462402344,104.55632781982422,0.9759700788993496,14,73120.8203125,270.40863037109375,189.94053649902344,0.9387425214357331,4,16269.3505859375,127.55136108398438,90.70083618164062,0.9703999181053085,4
26,0,6,4000,21,generated,0,12,0.017249444499611855,0.00043673685286194086,9410.244140625,97.00641632080078,60.37535095214844,0.9925983109412189,13,39561.1328125,198.89981079101562,141.2065887451172,0.9699614258177395,4,57193.671875,239.1519775390625,169.41880798339844,0.9081626135782245,4
27,0,6,5000,22,scratch,1,16,0.003184265224263072,0.0021326695568859577,3224.99560546875,56.78904342651367,34.164146423339844,0.9976295424874675,14,6086.919921875,78.01871490478516,41.62353515625,0.9938256981585637,4,8468.541015625,92.02467346191406,54.77693557739258,0.9801236987350834,4
28,0,6,6000,22,generated,0,12,0.0036019794642925262,0.006206190679222345,8692.001953125,93.23090362548828,53.06371307373047,0.992858898283619,14,2728.199462890625,52.23217010498047,27.32168197631836,0.997170010612989,4,1740.6280517578125,41.7208366394043,27.650222778320312,0.9959456331694716,4
29,0,6,7000,24,generated,0,20,0.0008707719971425831,0.0038819541223347187,1106.826416015625,33.26900100708008,22.5926456451416,0.9988852163734161,14,1940.3841552734375,44.0497932434082,27.091360092163086,0.997766090293915,5,1342.5675048828125,36.64106369018555,26.60958480834961,0.9988446035983166,5
30,0,6,8000,24,scratch,1,12,0.08695325255393982,0.004585948307067156,15190.458984375,123.24958038330078,73.02017974853516,0.9843718811769194,14,91500.109375,302.4898376464844,198.44931030273438,0.9052355003505436,5,112394.6015625,335.2530517578125,190.14639282226562,0.9005634926380908,5
31,0,6,9000,25,scratch,1,17,0.035211969166994095,0.003755338955670595,3090.525146484375,55.592491149902344,35.302207946777344,0.996329505279351,15,1475.18505859375,38.408138275146484,24.15121078491211,0.9986913615124268,5,2818.822998046875,53.09259033203125,32.198944091796875,0.9974595048889207,5
32,0,6,10000,23,generated,0,12,0.024314500391483307,0.007743457797914743,7219.8759765625,84.96985626220703,45.49495315551758,0.9936125783174123,13,9908.3212890625,99.5405502319336,52.25972366333008,0.9862720325883584,5,5520.43115234375,74.29960632324219,47.85466766357422,0.9945796155885142,5
33,1,4,0,19,generated,0,19,0.005515220575034618,0.00046640957589261234,6805.6171875,82.49616241455078,49.77090072631836,0.9955105413464649,11,4470.3876953125,66.86095428466797,36.07618713378906,0.9962564996057667,4,8413.9765625,91.72772979736328,57.544761657714844,0.9864201608785798,4
34,1,4,1000,19,scratch,1,39,0.0010797531576827168,0.00042882977868430316,1457.635009765625,38.178985595703125,27.77515983581543,0.9989403308009573,11,1068.947509765625,32.69476318359375,23.951547622680664,0.9991414980880298,4,1001.6389770507812,31.648679733276367,21.751728057861328,0.9983202039737191,4
35,1,4,2000,21,scratch,1,67,0.00297256070189178,0.0025006188079714775,10209.2880859375,101.04102325439453,54.065040588378906,0.9910725236507468,13,6097.1875,78.08448791503906,53.97703170776367,0.9959663872711961,4,4082.101806640625,63.891326904296875,38.6624755859375,0.9951589537931357,4
36,1,4,3000,20,scratch,1,10,0.9358812570571899,0.0013674910878762603,638666.4375,799.1660766601562,462.945556640625,0.5599961333378698,12,85002.6953125,291.5522155761719,207.09010314941406,0.7781176045991928,4,219145.875,468.13018798828125,303.2693786621094,0.7622967198914072,4
37,1,4,4000,21,scratch,1,57,0.007305751089006662,0.0004537347995210439,1137.8714599609375,33.73234939575195,18.533611297607422,0.9990691358398125,13,12720.8955078125,112.78694915771484,81.06449127197266,0.9902829077299611,4,3862.662109375,62.15031814575195,38.26934814453125,0.9946317300581347,4
38,1,4,5000,22,generated,0,15,0.024039385840296745,0.0026237869169563055,3230.85498046875,56.84061050415039,38.26599884033203,0.9973773635684902,14,7880.837890625,88.77408599853516,63.49143600463867,0.9930420045376946,4,5696.4404296875,75.47476959228516,54.387290954589844,0.9908141530774192,4
39,1,4,6000,21,generated,0,24,0.015254460275173187,0.006586482282727957,7000.9814453125,83.67186737060547,52.578182220458984,0.9940368390451813,13,2028.01123046875,45.033447265625,31.555370330810547,0.9982437215266377,4,10487.37890625,102.40790557861328,72.80924224853516,0.9842480266669699,4
40,1,4,7000,22,scratch,1,26,0.0218159519135952,0.00414175633341074,1108.6036376953125,33.29570007324219,24.378690719604492,0.9991313374275884,14,10262.2421875,101.30272674560547,70.63853454589844,0.9887316137941805,4,9525.9755859375,97.60110473632812,66.59103393554688,0.9752032987343934,4
41,1,4,8000,24,generated,0,9,0.010358315892517567,0.004798150155693293,48198.5078125,219.5415802001953,109.12532043457031,0.9546390368136947,14,13917.2705078125,117.97148132324219,74.31776428222656,0.9833361879417932,5,33917.88671875,184.1680908203125,87.8510513305664,0.9699554954130988,5
42,1,4,9000,23,generated,0,11,0.004230824299156666,0.01769072562456131,25027.6640625,158.2013397216797,94.02945709228516,0.9770054448253909,13,12843.1787109375,113.32775115966797,73.10528564453125,0.9857136957197735,5,624.58349609375,24.991668701171875,18.232036590576172,0.999294552933765,5
43,1,4,10000,24,generated,0,37,0.01277807354927063,0.0005411849124357104,988.3516235351562,31.438060760498047,19.330211639404297,0.9990288238372727,14,2846.093994140625,53.34879684448242,30.532751083374023,0.9965938072562549,5,10901.388671875,104.40971374511719,57.18305206298828,0.9909681451052142,5
44,1,5,0,21,scratch,1,19,0.0009119129972532392,0.002150400308892131,4933.083984375,70.23591613769531,39.33811950683594,0.9956403081306945,13,203.752197265625,14.274179458618164,9.550573348999023,0.9998638783217674,4,7575.35498046875,87.03651428222656,54.817298889160156,0.9931757535339042,4
45,1,5,1000,20,generated,0,9,0.07616476714611053,0.002164076780900359,17289.646484375,131.49009704589844,84.44412994384766,0.987862433750151,12,20921.876953125,144.6439666748047,96.33958435058594,0.9437261435566872,4,35063.640625,187.2528839111328,132.16806030273438,0.9623122952848855,4
46,1,5,2000,21,generated,0,41,0.007528834976255894,0.0006350026233121753,10198.7646484375,100.98892974853516,64.44612884521484,0.9911546678468408,13,2323.351806640625,48.2011604309082,27.56723403930664,0.9981808227647694,4,9871.4306640625,99.35507202148438,62.488914489746094,0.9868760041108613,4
47,1,5,3000,20,generated,0,8,0.27005165815353394,0.000594345445279032,105266.21875,324.44757080078125,203.09019470214844,0.9249042023381204,12,222156.34375,471.33465576171875,297.114990234375,0.34580191655904113,4,337082.8125,580.5883178710938,395.61279296875,0.6328192056682891,4
48,1,5,4000,20,generated,0,13,0.015718378126621246,0.002507223282009363,96943.7578125,311.3579406738281,186.01959228515625,0.9289094496564626,12,27368.451171875,165.4341278076172,95.11366271972656,0.9214152168916334,4,34252.59765625,185.07456970214844,126.6210708618164,0.9619038208850849,4
49,1,5,5000,20,scratch,1,14,0.18944989144802094,0.0003650618891697377,25710.693359375,160.34555053710938,103.96087646484375,0.9798681573903882,12,29959.525390625,173.08819580078125,104.32170104980469,0.9200431427734171,4,22981.734375,151.59727478027344,108.33868408203125,0.9750118655756754,4
50,1,5,6000,21,scratch,1,22,0.010992256924510002,0.004504097159951925,5335.61279296875,73.04528045654297,50.439308166503906,0.9950896449527307,13,11627.7705078125,107.83213806152344,75.55616760253906,0.9900960474808416,4,12695.2646484375,112.67326354980469,71.46345520019531,0.9790432341833345,4
51,1,5,7000,23,generated,0,8,0.060455478727817535,0.0009397031972184777,3733.265380859375,61.1004524230957,38.79235076904297,0.9964110599970137,13,5718.2490234375,75.61910247802734,57.85567092895508,0.9929101321032057,5,4569.009765625,67.59445190429688,52.7950553894043,0.9956227096741768,5
52,1,5,8000,23,scratch,1,12,0.008331499993801117,0.0006097222212702036,37557.55859375,193.7977294921875,107.01627349853516,0.9635193799336488,13,5450.37158203125,73.82662963867188,52.354331970214844,0.9932270803620802,5,28820.853515625,169.76705932617188,119.77181243896484,0.9714184733376646,5
53,1,5,9000,23,scratch,1,12,0.012171050533652306,0.011646319180727005,2148.208740234375,46.34877395629883,23.97964859008789,0.997844050250657,13,7246.54150390625,85.12661743164062,48.527687072753906,0.9910273454428369,5,18296.75390625,135.26548767089844,86.11332702636719,0.9793633937581397,5
54,1,5,10000,24,scratch,1,19,0.0029410640709102154,0.0008748410618864,6230.48095703125,78.93339538574219,51.61379623413086,0.9933553480394466,14,5239.6357421875,72.38533020019531,42.48530578613281,0.9937209286776448,5,453.2914123535156,21.29064178466797,14.136062622070312,0.9995791466264874,5
55,1,6,0,19,scratch,1,89,0.01125282235443592,0.0006557605229318142,1806.796875,42.506431579589844,25.093114852905273,0.9988598528056883,11,33210.640625,182.2378692626953,105.8161392211914,0.9707941291156589,4,488.0775146484375,22.09247589111328,15.898863792419434,0.9991339298125301,4
56,1,6,1000,20,generated,0,13,0.012663767673075199,0.0033157605212181807,13158.6083984375,114.71097564697266,73.40568542480469,0.991429230125968,12,12535.611328125,111.9625473022461,58.84430694580078,0.9659894846073612,4,12048.8212890625,109.76712036132812,78.67987823486328,0.9861522235529692,4
57,1,6,2000,22,generated,0,34,8.687384251970798e-05,0.0075239925645291805,4854.78564453125,69.6762924194336,33.563011169433594,0.9960089956132002,14,135.60211181640625,11.644831657409668,7.711560249328613,0.9998829721278241,4,2947.331787109375,54.28933334350586,34.819007873535156,0.9953815315456253,4
58,1,6,3000,20,generated,0,26,0.00464636692777276,0.000691054854542017,3539.818115234375,59.49637222290039,36.709693908691406,0.9976210332491005,12,6380.3671875,79.877197265625,56.546138763427734,0.9800228443184237,4,6909.9833984375,83.12631225585938,53.801666259765625,0.9922672645242748,4
59,1,6,4000,21,generated,0,23,0.013514718040823936,0.002160007134079933,1573.6024169921875,39.66865921020508,26.344242095947266,0.9986745619735062,13,6591.408203125,81.18748474121094,58.59814453125,0.995372273999456,4,5320.03857421875,72.93859100341797,48.90013885498047,0.9910434634313652,4
60,1,6,5000,21,generated,0,30,0.0013931610155850649,0.004834436345845461,2734.912841796875,52.29639434814453,27.659074783325195,0.9976893494421163,13,1333.186767578125,36.5128288269043,19.43033218383789,0.9989408693511953,4,8724.4150390625,93.40457916259766,58.29200744628906,0.9865196739848058,4
61,1,6,6000,21,generated,0,12,0.003322380827739835,0.0005529806367121637,3115.820068359375,55.81953048706055,33.41383361816406,0.9973015437351709,13,601.321044921875,24.521848678588867,13.143880844116211,0.9995059344648002,4,10429.5830078125,102.12532806396484,61.73128890991211,0.9832418722434114,4
