task_id,WL,Retention,PEC,num_points
61,1,3,6000,21
259,7,3,6000,22
292,8,3,6000,23
313,9,2,5000,21
365,11,1,2000,18
492,14,3,8000,22
531,16,1,3000,19
566,17,1,5000,21
638,19,2,0,19
667,20,1,7000,20
713,21,2,9000,22
740,22,2,3000,19
763,23,1,4000,21
767,23,1,8000,21
782,23,3,1000,20
815,24,3,1000,21
964,29,1,7000,20
1065,32,1,9000,21
1087,32,3,9000,22
1173,35,2,7000,21
1176,35,2,10000,20
1289,39,1,2000,20
1346,40,3,4000,21
1377,41,3,2000,20
1518,46,1,0,19
1585,48,1,1000,19
1625,49,1,8000,19
1673,50,3,1000,19
1679,50,3,7000,20
1811,54,3,7000,21
1892,57,2,0,19
1900,57,2,8000,22
1975,59,3,6000,21
2011,60,3,9000,23
2066,62,2,9000,20
2307,69,3,8000,23
2330,70,2,9000,20
2334,70,3,2000,19
2420,73,2,0,18
2563,77,3,0,18
2619,79,2,1000,20
2725,82,2,8000,20
2765,83,3,4000,21
2931,88,3,5000,22
2957,89,2,9000,22
3038,92,1,2000,18
3065,92,3,7000,21
3085,93,2,5000,20
3099,93,3,8000,22
3251,98,2,6000,23
3350,101,2,6000,19
3435,104,1,3000,19
3448,104,2,5000,20
3595,108,3,9000,21
3643,110,2,2000,19
3651,110,2,10000,22
3663,111,1,0,18
3685,111,3,0,19
3692,111,3,7000,20
3701,112,1,5000,20
3719,112,3,1000,20
3746,113,2,6000,21
3751,113,3,0,18
3860,116,3,10000,22
3875,117,2,3000,18
3898,118,1,4000,19
3929,119,1,2000,19
3964,120,1,4000,20
3967,120,1,7000,20
3983,120,3,1000,20
4158,126,1,0,19
4162,126,1,4000,19
4253,128,3,7000,21
4267,129,1,10000,18
4374,132,2,7000,20
4541,137,2,9000,21
4566,138,2,1000,19
4620,140,1,0,18
4666,141,2,2000,19
4673,141,2,9000,20
4715,142,3,7000,21
4728,143,1,9000,20
4761,144,1,9000,19
4765,144,2,2000,18
4785,145,1,0,19
4842,146,3,2000,19
5084,154,1,2000,19
5266,159,2,8000,23
5279,159,3,10000,21
5346,162,1,0,18
5349,162,1,3000,18
5359,162,2,2000,20
5433,164,2,10000,21
5510,166,3,10000,20
5588,169,2,0,20
5611,170,1,1000,19
5627,170,2,6000,20
5658,171,2,4000,20
5708,172,3,10000,21
5730,173,2,10000,19
5747,174,1,5000,19
5792,175,2,6000,19
5843,177,1,2000,20
5871,177,3,8000,20
5929,179,3,0,18
5964,180,3,2000,19
6114,185,1,9000,20
6212,188,1,8000,19
6226,188,3,0,19
6322,191,2,8000,21
6326,191,3,1000,22
6344,192,1,8000,19
6423,194,2,10000,21
6439,195,1,4000,20
6445,195,1,10000,20
6497,196,3,7000,20
6504,197,1,3000,19
6535,198,1,1000,19
6558,198,3,2000,21
6565,198,3,9000,21
6613,200,2,2000,19
6659,201,3,4000,20
6695,202,3,7000,22
6703,203,1,4000,19
6751,204,2,8000,20
6761,204,3,7000,21
6850,207,2,8000,22
6899,209,1,2000,19
6940,210,1,10000,20
6979,211,2,5000,20
6980,211,2,6000,20
6984,211,2,10000,20
6994,211,3,9000,22
7062,214,1,0,17
7129,216,1,1000,19
7153,216,3,3000,20
7202,218,1,8000,19
7206,218,2,1000,19
7398,224,1,6000,19
7453,225,3,6000,24
7537,228,2,2000,20
7574,229,2,6000,23
7711,233,3,0,21
7712,233,3,1000,20
7878,238,3,2000,20
8090,245,1,5000,19
8099,245,2,3000,22
8107,245,3,0,22
8293,251,1,10000,19
8381,253,3,10000,22
