task_id,WL,Retention,PEC,num_points
0,0,4,0,24
1,0,4,1000,22
2,0,4,2000,28
3,0,4,3000,27
4,0,4,4000,28
5,0,4,5000,28
6,0,4,6000,27
7,0,4,7000,26
8,0,4,8000,27
9,0,4,9000,27
10,0,4,10000,25
11,0,5,0,26
12,0,5,1000,25
13,0,5,2000,27
14,0,5,3000,27
15,0,5,4000,28
16,0,5,5000,28
17,0,5,6000,27
18,0,5,7000,27
19,0,5,8000,28
20,0,5,9000,30
21,0,5,10000,28
22,0,6,0,21
23,0,6,1000,21
24,0,6,2000,23
25,0,6,3000,25
26,0,6,4000,25
27,0,6,5000,25
28,0,6,6000,24
29,0,6,7000,25
30,0,6,8000,26
31,0,6,9000,26
32,0,6,10000,24
33,1,4,0,23
34,1,4,1000,25
35,1,4,2000,25
36,1,4,3000,28
37,1,4,4000,26
38,1,4,5000,26
39,1,4,6000,29
40,1,4,7000,26
41,1,4,8000,26
42,1,4,9000,29
43,1,4,10000,26
44,1,5,0,24
45,1,5,1000,27
46,1,5,2000,29
47,1,5,3000,28
48,1,5,4000,29
49,1,5,5000,26
50,1,5,6000,30
51,1,5,7000,29
52,1,5,8000,27
53,1,5,9000,30
54,1,5,10000,28
55,1,6,0,21
56,1,6,1000,22
57,1,6,2000,24
58,1,6,3000,28
59,1,6,4000,25
60,1,6,5000,24
61,1,6,6000,28
62,1,6,7000,25
63,1,6,8000,24
64,1,6,9000,28
65,1,6,10000,27
66,2,4,0,22
67,2,4,1000,23
68,2,4,2000,25
69,2,4,3000,29
70,2,4,4000,27
71,2,4,5000,27
72,2,4,6000,27
73,2,4,7000,26
74,2,4,8000,28
75,2,4,9000,25
76,2,4,10000,26
77,2,5,0,24
78,2,5,1000,23
79,2,5,2000,26
80,2,5,3000,26
81,2,5,4000,28
82,2,5,5000,28
83,2,5,6000,32
84,2,5,7000,27
85,2,5,8000,30
86,2,5,9000,28
87,2,5,10000,30
88,2,6,0,21
89,2,6,1000,21
90,2,6,2000,24
91,2,6,3000,26
92,2,6,4000,25
93,2,6,5000,26
94,2,6,6000,27
95,2,6,7000,22
96,2,6,8000,27
97,2,6,9000,25
98,2,6,10000,23
99,3,4,0,22
100,3,4,1000,24
101,3,4,2000,27
102,3,4,3000,27
103,3,4,4000,28
104,3,4,5000,27
105,3,4,6000,25
106,3,4,7000,26
107,3,4,8000,29
108,3,4,9000,26
109,3,4,10000,27
110,3,5,0,23
111,3,5,1000,24
112,3,5,2000,27
113,3,5,3000,26
114,3,5,4000,28
115,3,5,5000,25
116,3,5,6000,27
117,3,5,7000,27
118,3,5,8000,32
119,3,5,9000,29
120,3,5,10000,27
121,3,6,0,20
122,3,6,1000,22
123,3,6,2000,22
124,3,6,3000,24
125,3,6,4000,25
126,3,6,5000,23
127,3,6,6000,24
128,3,6,7000,23
129,3,6,8000,29
130,3,6,9000,25
131,3,6,10000,25
132,4,4,0,23
133,4,4,1000,26
134,4,4,2000,27
135,4,4,3000,27
136,4,4,4000,26
137,4,4,5000,27
138,4,4,6000,25
139,4,4,7000,25
140,4,4,8000,26
141,4,4,9000,27
142,4,4,10000,29
143,4,5,0,23
144,4,5,1000,25
145,4,5,2000,27
146,4,5,3000,26
147,4,5,4000,27
148,4,5,5000,28
149,4,5,6000,26
150,4,5,7000,28
151,4,5,8000,28
152,4,5,9000,29
153,4,5,10000,30
154,4,6,0,21
155,4,6,1000,23
156,4,6,2000,25
157,4,6,3000,26
158,4,6,4000,24
159,4,6,5000,25
160,4,6,6000,25
161,4,6,7000,24
162,4,6,8000,25
163,4,6,9000,25
164,4,6,10000,29
165,5,4,0,23
166,5,4,1000,25
167,5,4,2000,28
168,5,4,3000,31
169,5,4,4000,25
170,5,4,5000,25
171,5,4,6000,24
172,5,4,7000,25
173,5,4,8000,28
174,5,4,9000,28
175,5,4,10000,25
176,5,5,0,23
177,5,5,1000,24
178,5,5,2000,26
179,5,5,3000,28
180,5,5,4000,27
181,5,5,5000,28
182,5,5,6000,30
183,5,5,7000,30
184,5,5,8000,28
185,5,5,9000,30
186,5,5,10000,28
187,5,6,0,21
188,5,6,1000,22
189,5,6,2000,24
190,5,6,3000,26
191,5,6,4000,24
192,5,6,5000,23
193,5,6,6000,25
194,5,6,7000,24
195,5,6,8000,26
196,5,6,9000,25
197,5,6,10000,23
198,6,4,0,23
199,6,4,1000,26
200,6,4,2000,26
201,6,4,3000,23
202,6,4,4000,24
203,6,4,5000,24
204,6,4,6000,28
205,6,4,7000,24
206,6,4,8000,25
207,6,4,9000,24
208,6,4,10000,26
209,6,5,0,23
210,6,5,1000,25
211,6,5,2000,26
212,6,5,3000,26
213,6,5,4000,24
214,6,5,5000,27
215,6,5,6000,27
216,6,5,7000,26
217,6,5,8000,28
218,6,5,9000,27
219,6,5,10000,28
220,6,6,0,22
221,6,6,1000,22
222,6,6,2000,23
223,6,6,3000,23
224,6,6,4000,21
225,6,6,5000,22
226,6,6,6000,25
227,6,6,7000,23
228,6,6,8000,23
229,6,6,9000,23
230,6,6,10000,24
231,7,4,0,23
232,7,4,1000,26
233,7,4,2000,24
234,7,4,3000,29
235,7,4,4000,27
236,7,4,5000,25
237,7,4,6000,26
238,7,4,7000,27
239,7,4,8000,26
240,7,4,9000,26
241,7,4,10000,25
242,7,5,0,23
243,7,5,1000,27
244,7,5,2000,27
245,7,5,3000,31
246,7,5,4000,27
247,7,5,5000,27
248,7,5,6000,28
249,7,5,7000,27
250,7,5,8000,29
251,7,5,9000,27
252,7,5,10000,29
253,7,6,0,23
254,7,6,1000,27
255,7,6,2000,25
256,7,6,3000,28
257,7,6,4000,25
258,7,6,5000,23
259,7,6,6000,25
260,7,6,7000,26
261,7,6,8000,22
262,7,6,9000,25
263,7,6,10000,23
264,8,4,0,23
265,8,4,1000,23
266,8,4,2000,24
267,8,4,3000,23
268,8,4,4000,28
269,8,4,5000,24
270,8,4,6000,26
271,8,4,7000,30
272,8,4,8000,24
273,8,4,9000,27
274,8,4,10000,23
275,8,5,0,25
276,8,5,1000,22
277,8,5,2000,26
278,8,5,3000,23
279,8,5,4000,28
280,8,5,5000,27
281,8,5,6000,27
282,8,5,7000,32
283,8,5,8000,28
284,8,5,9000,30
285,8,5,10000,29
286,8,6,0,21
287,8,6,1000,22
288,8,6,2000,25
289,8,6,3000,24
290,8,6,4000,26
291,8,6,5000,24
292,8,6,6000,25
293,8,6,7000,28
294,8,6,8000,25
295,8,6,9000,24
296,8,6,10000,23
297,9,4,0,21
298,9,4,1000,23
299,9,4,2000,23
300,9,4,3000,25
301,9,4,4000,28
302,9,4,5000,27
303,9,4,6000,28
304,9,4,7000,27
305,9,4,8000,28
306,9,4,9000,29
307,9,4,10000,27
308,9,5,0,24
309,9,5,1000,24
310,9,5,2000,23
311,9,5,3000,26
312,9,5,4000,30
313,9,5,5000,29
314,9,5,6000,30
315,9,5,7000,27
316,9,5,8000,29
317,9,5,9000,30
318,9,5,10000,30
319,9,6,0,20
320,9,6,1000,22
321,9,6,2000,22
322,9,6,3000,25
323,9,6,4000,26
324,9,6,5000,25
325,9,6,6000,26
326,9,6,7000,24
327,9,6,8000,27
328,9,6,9000,25
329,9,6,10000,23
330,10,4,0,23
331,10,4,1000,24
332,10,4,2000,27
333,10,4,3000,26
334,10,4,4000,25
335,10,4,5000,26
336,10,4,6000,26
337,10,4,7000,27
338,10,4,8000,28
339,10,4,9000,29
340,10,4,10000,29
341,10,5,0,23
342,10,5,1000,25
343,10,5,2000,26
344,10,5,3000,27
345,10,5,4000,25
346,10,5,5000,28
347,10,5,6000,29
348,10,5,7000,28
349,10,5,8000,30
350,10,5,9000,30
351,10,5,10000,29
352,10,6,0,23
353,10,6,1000,22
354,10,6,2000,27
355,10,6,3000,23
356,10,6,4000,22
357,10,6,5000,24
358,10,6,6000,25
359,10,6,7000,25
360,10,6,8000,25
361,10,6,9000,26
362,10,6,10000,24
363,11,4,0,25
364,11,4,1000,22
365,11,4,2000,23
366,11,4,3000,24
367,11,4,4000,29
368,11,4,5000,28
369,11,4,6000,26
370,11,4,7000,24
371,11,4,8000,26
372,11,4,9000,26
373,11,4,10000,28
374,11,5,0,24
375,11,5,1000,23
376,11,5,2000,26
377,11,5,3000,26
378,11,5,4000,29
379,11,5,5000,27
