task_id,WL,Retention,PEC,num_points
0,0,1,0,22
1,0,1,1000,23
2,0,1,2000,24
3,0,1,3000,22
4,0,1,4000,24
5,0,1,5000,23
6,0,1,6000,26
7,0,1,7000,25
8,0,1,8000,26
9,0,1,9000,26
10,0,1,10000,23
11,0,2,0,24
12,0,2,1000,25
13,0,2,2000,26
14,0,2,3000,24
15,0,2,4000,27
16,0,2,5000,26
17,0,2,6000,26
18,0,2,7000,26
19,0,2,8000,29
20,0,2,9000,27
21,0,2,10000,26
22,0,3,0,25
23,0,3,1000,26
24,0,3,2000,26
25,0,3,3000,25
26,0,3,4000,26
27,0,3,5000,28
28,0,3,6000,26
29,0,3,7000,28
30,0,3,8000,29
31,0,3,9000,28
32,0,3,10000,27
33,1,1,0,22
34,1,1,1000,25
35,1,1,2000,24
36,1,1,3000,26
37,1,1,4000,23
38,1,1,5000,23
39,1,1,6000,27
40,1,1,7000,29
41,1,1,8000,25
42,1,1,9000,25
43,1,1,10000,27
44,1,2,0,24
45,1,2,1000,24
46,1,2,2000,25
47,1,2,3000,28
48,1,2,4000,24
49,1,2,5000,25
50,1,2,6000,27
51,1,2,7000,30
52,1,2,8000,26
53,1,2,9000,28
54,1,2,10000,28
55,1,3,0,23
56,1,3,1000,24
57,1,3,2000,26
58,1,3,3000,26
59,1,3,4000,25
60,1,3,5000,25
61,1,3,6000,26
62,1,3,7000,30
63,1,3,8000,29
64,1,3,9000,27
65,1,3,10000,26
66,2,1,0,23
67,2,1,1000,24
68,2,1,2000,22
69,2,1,3000,24
70,2,1,4000,22
71,2,1,5000,24
72,2,1,6000,25
73,2,1,7000,24
74,2,1,8000,23
75,2,1,9000,25
76,2,1,10000,23
77,2,2,0,24
78,2,2,1000,27
79,2,2,2000,25
80,2,2,3000,24
81,2,2,4000,25
82,2,2,5000,31
83,2,2,6000,24
84,2,2,7000,27
85,2,2,8000,26
86,2,2,9000,27
87,2,2,10000,27
88,2,3,0,25
89,2,3,1000,28
90,2,3,2000,23
91,2,3,3000,25
92,2,3,4000,26
93,2,3,5000,29
94,2,3,6000,27
95,2,3,7000,25
96,2,3,8000,27
97,2,3,9000,24
98,2,3,10000,27
99,3,1,0,21
100,3,1,1000,21
101,3,1,2000,23
102,3,1,3000,23
103,3,1,4000,27
104,3,1,5000,26
105,3,1,6000,27
106,3,1,7000,27
107,3,1,8000,26
108,3,1,9000,27
109,3,1,10000,28
110,3,2,0,24
111,3,2,1000,24
112,3,2,2000,25
113,3,2,3000,25
114,3,2,4000,29
115,3,2,5000,23
116,3,2,6000,29
117,3,2,7000,27
118,3,2,8000,28
119,3,2,9000,30
120,3,2,10000,28
121,3,3,0,24
122,3,3,1000,25
123,3,3,2000,25
124,3,3,3000,25
125,3,3,4000,30
126,3,3,5000,23
127,3,3,6000,28
128,3,3,7000,25
129,3,3,8000,26
130,3,3,9000,31
131,3,3,10000,28
132,4,1,0,24
133,4,1,1000,22
134,4,1,2000,24
135,4,1,3000,25
136,4,1,4000,28
137,4,1,5000,24
138,4,1,6000,28
139,4,1,7000,25
140,4,1,8000,25
141,4,1,9000,25
142,4,1,10000,26
143,4,2,0,24
144,4,2,1000,23
145,4,2,2000,24
146,4,2,3000,26
147,4,2,4000,28
148,4,2,5000,25
149,4,2,6000,33
150,4,2,7000,26
151,4,2,8000,27
152,4,2,9000,27
153,4,2,10000,29
154,4,3,0,25
155,4,3,1000,21
156,4,3,2000,23
157,4,3,3000,26
158,4,3,4000,27
159,4,3,5000,25
160,4,3,6000,30
161,4,3,7000,26
162,4,3,8000,26
163,4,3,9000,28
164,4,3,10000,28
165,5,1,0,24
166,5,1,1000,23
167,5,1,2000,24
168,5,1,3000,23
169,5,1,4000,24
170,5,1,5000,23
171,5,1,6000,25
172,5,1,7000,27
173,5,1,8000,24
174,5,1,9000,26
175,5,1,10000,27
176,5,2,0,25
177,5,2,1000,25
178,5,2,2000,23
179,5,2,3000,24
180,5,2,4000,25
181,5,2,5000,26
182,5,2,6000,30
183,5,2,7000,29
184,5,2,8000,26
185,5,2,9000,28
186,5,2,10000,28
187,5,3,0,26
188,5,3,1000,24
189,5,3,2000,24
190,5,3,3000,23
191,5,3,4000,28
192,5,3,5000,27
193,5,3,6000,27
194,5,3,7000,28
195,5,3,8000,26
196,5,3,9000,27
197,5,3,10000,27
198,6,1,0,21
199,6,1,1000,24
200,6,1,2000,21
201,6,1,3000,23
202,6,1,4000,26
203,6,1,5000,25
204,6,1,6000,25
205,6,1,7000,24
206,6,1,8000,23
207,6,1,9000,24
208,6,1,10000,25
209,6,2,0,21
210,6,2,1000,24
211,6,2,2000,25
212,6,2,3000,24
213,6,2,4000,23
214,6,2,5000,28
215,6,2,6000,27
216,6,2,7000,27
217,6,2,8000,26
218,6,2,9000,26
219,6,2,10000,27
220,6,3,0,22
221,6,3,1000,23
222,6,3,2000,26
223,6,3,3000,25
224,6,3,4000,23
225,6,3,5000,27
226,6,3,6000,28
227,6,3,7000,28
228,6,3,8000,27
229,6,3,9000,25
230,6,3,10000,27
231,7,1,0,22
232,7,1,1000,26
233,7,1,2000,23
234,7,1,3000,25
235,7,1,4000,24
236,7,1,5000,23
237,7,1,6000,25
238,7,1,7000,24
239,7,1,8000,28
240,7,1,9000,28
241,7,1,10000,25
242,7,2,0,24
243,7,2,1000,26
244,7,2,2000,23
245,7,2,3000,25
246,7,2,4000,25
247,7,2,5000,26
248,7,2,6000,31
249,7,2,7000,29
250,7,2,8000,29
251,7,2,9000,29
252,7,2,10000,25
253,7,3,0,24
254,7,3,1000,28
255,7,3,2000,24
256,7,3,3000,25
257,7,3,4000,28
258,7,3,5000,26
259,7,3,6000,30
260,7,3,7000,29
261,7,3,8000,30
262,7,3,9000,31
263,7,3,10000,28
264,8,1,0,24
265,8,1,1000,21
266,8,1,2000,24
267,8,1,3000,24
268,8,1,4000,23
269,8,1,5000,26
270,8,1,6000,22
271,8,1,7000,23
272,8,1,8000,24
273,8,1,9000,25
274,8,1,10000,25
275,8,2,0,22
276,8,2,1000,24
277,8,2,2000,25
278,8,2,3000,26
279,8,2,4000,24
280,8,2,5000,27
281,8,2,6000,24
282,8,2,7000,28
283,8,2,8000,25
284,8,2,9000,28
285,8,2,10000,26
286,8,3,0,25
287,8,3,1000,24
288,8,3,2000,21
289,8,3,3000,25
290,8,3,4000,26
291,8,3,5000,26
292,8,3,6000,24
293,8,3,7000,27
294,8,3,8000,25
295,8,3,9000,26
296,8,3,10000,24
297,9,1,0,22
298,9,1,1000,22
299,9,1,2000,21
300,9,1,3000,24
301,9,1,4000,25
302,9,1,5000,23
303,9,1,6000,24
304,9,1,7000,23
305,9,1,8000,25
306,9,1,9000,25
307,9,1,10000,26
308,9,2,0,24
309,9,2,1000,26
310,9,2,2000,26
311,9,2,3000,27
312,9,2,4000,24
313,9,2,5000,23
314,9,2,6000,24
315,9,2,7000,25
316,9,2,8000,24
317,9,2,9000,29
318,9,2,10000,26
319,9,3,0,26
320,9,3,1000,26
321,9,3,2000,27
322,9,3,3000,26
323,9,3,4000,26
324,9,3,5000,27
325,9,3,6000,23
326,9,3,7000,25
327,9,3,8000,23
328,9,3,9000,29
329,9,3,10000,24
330,10,1,0,22
331,10,1,1000,23
332,10,1,2000,22
333,10,1,3000,22
334,10,1,4000,22
335,10,1,5000,23
336,10,1,6000,26
337,10,1,7000,25
338,10,1,8000,25
339,10,1,9000,25
340,10,1,10000,23
341,10,2,0,23
342,10,2,1000,24
343,10,2,2000,25
344,10,2,3000,22
345,10,2,4000,29
346,10,2,5000,26
347,10,2,6000,29
348,10,2,7000,27
349,10,2,8000,27
350,10,2,9000,27
351,10,2,10000,25
352,10,3,0,24
353,10,3,1000,26
354,10,3,2000,25
355,10,3,3000,25
356,10,3,4000,28
357,10,3,5000,25
358,10,3,6000,27
359,10,3,7000,24
360,10,3,8000,27
361,10,3,9000,27
362,10,3,10000,28
363,11,1,0,22
364,11,1,1000,26
365,11,1,2000,24
366,11,1,3000,23
367,11,1,4000,24
368,11,1,5000,23
369,11,1,6000,29
370,11,1,7000,26
371,11,1,8000,24
372,11,1,9000,24
373,11,1,10000,25
374,11,2,0,25
375,11,2,1000,26
376,11,2,2000,26
377,11,2,3000,23
378,11,2,4000,24
379,11,2,5000,26
380,11,2,6000,29
381,11,2,7000,30
382,11,2,8000,28
383,11,2,9000,30
384,11,2,10000,26
385,11,3,0,23
386,11,3,1000,27
387,11,3,2000,27
388,11,3,3000,26
389,11,3,4000,26
390,11,3,5000,27
391,11,3,6000,30
392,11,3,7000,31
393,11,3,8000,28
394,11,3,9000,31
395,11,3,10000,25
396,12,1,0,22
397,12,1,1000,23
398,12,1,2000,23
399,12,1,3000,22
400,12,1,4000,26
401,12,1,5000,22
402,12,1,6000,23
403,12,1,7000,25
404,12,1,8000,24
405,12,1,9000,24
406,12,1,10000,24
