task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
0,0,1,0,28,,0,140,0.002129367785528302,0.002129367785528302,1612.332275390625,40.15385818481445,18.378202438354492,0.9976396591643191,28
1,0,1,1000,28,,0,73,0.00852473359555006,0.008524244651198387,1784.3265380859375,42.24129104614258,19.649293899536133,0.9973319876087193,28
2,0,1,2000,32,,0,96,0.013552476651966572,0.013551892712712288,2535.921630859375,50.35793685913086,23.328622817993164,0.995992800500926,32
3,0,1,3000,32,,0,140,0.004831200465559959,0.004831200465559959,3041.08154296875,55.14600372314453,28.700119018554688,0.9950582446308442,32
4,0,1,4000,34,,0,140,0.012038459070026875,0.012038459070026875,5110.0576171875,71.48466491699219,31.034269332885742,0.9913229263246011,34
5,0,1,5000,32,,0,140,0.007739159278571606,0.007739159278571606,700.3604125976562,26.464323043823242,12.547853469848633,0.9988937907468228,32
6,0,1,6000,33,,0,98,0.0031984783709049225,0.003197646467015147,4778.43798828125,69.1262435913086,34.806156158447266,0.992055162263404,33
7,0,1,7000,32,,0,128,0.0016585009871050715,0.0016583285760134459,1491.43017578125,38.61903762817383,19.480289459228516,0.9975486111037761,32
8,0,1,8000,31,,0,140,0.0022470506373792887,0.0022470506373792887,1218.0546875,34.900638580322266,19.964717864990234,0.9979897110285437,31
9,0,1,9000,35,,0,140,0.0023325097281485796,0.0023325097281485796,4932.23095703125,70.22984313964844,33.57020568847656,0.9915767343733567,35
10,0,1,10000,33,,0,140,0.0177565086632967,0.0177565086632967,5798.61572265625,76.14864349365234,37.643890380859375,0.9904960897555666,33
11,0,2,0,28,,0,139,0.001010453444905579,0.0010103422682732344,1101.4615478515625,33.18827438354492,16.977176666259766,0.9983852840069691,28
12,0,2,1000,27,,0,92,0.0008572631631977856,0.0008566800970584154,1883.194580078125,43.395790100097656,23.274898529052734,0.9971917499537696,27
13,0,2,2000,34,,0,140,0.0006811409257352352,0.0006811409257352352,1493.1973876953125,38.641910552978516,18.385597229003906,0.9976238638938406,34
14,0,2,3000,34,,0,140,0.003572858404368162,0.003572858404368162,748.9144287109375,27.366300582885742,11.857080459594727,0.9987514126206564,34
