task_id,WL,Retention,PEC,num_points
0,0,4,0,29
1,0,4,1000,29
2,0,4,2000,36
3,0,4,3000,34
4,0,4,4000,35
5,0,4,5000,35
6,0,4,6000,36
7,0,4,7000,36
8,0,4,8000,33
9,0,4,9000,34
10,0,4,10000,37
11,0,5,0,30
12,0,5,1000,28
13,0,5,2000,34
14,0,5,3000,37
15,0,5,4000,35
16,0,5,5000,34
17,0,5,6000,36
18,0,5,7000,36
19,0,5,8000,36
20,0,5,9000,37
21,0,5,10000,38
22,0,6,0,28
23,0,6,1000,27
24,0,6,2000,32
25,0,6,3000,33
26,0,6,4000,32
27,0,6,5000,32
28,0,6,6000,30
29,0,6,7000,30
30,0,6,8000,30
31,0,6,9000,33
32,0,6,10000,34
33,1,4,0,33
34,1,4,1000,35
35,1,4,2000,36
36,1,4,3000,37
37,1,4,4000,35
38,1,4,5000,33
39,1,4,6000,35
40,1,4,7000,35
41,1,4,8000,38
42,1,4,9000,38
43,1,4,10000,37
44,1,5,0,28
45,1,5,1000,33
46,1,5,2000,36
47,1,5,3000,34
48,1,5,4000,35
49,1,5,5000,34
50,1,5,6000,36
51,1,5,7000,37
52,1,5,8000,39
53,1,5,9000,38
54,1,5,10000,36
55,1,6,0,27
56,1,6,1000,35
57,1,6,2000,34
58,1,6,3000,35
59,1,6,4000,31
60,1,6,5000,31
61,1,6,6000,33
62,1,6,7000,34
63,1,6,8000,34
64,1,6,9000,36
65,1,6,10000,32
66,2,4,0,34
67,2,4,1000,31
68,2,4,2000,32
69,2,4,3000,39
70,2,4,4000,31
71,2,4,5000,34
72,2,4,6000,36
73,2,4,7000,35
74,2,4,8000,34
75,2,4,9000,37
76,2,4,10000,34
77,2,5,0,35
78,2,5,1000,30
79,2,5,2000,30
80,2,5,3000,37
81,2,5,4000,31
82,2,5,5000,33
83,2,5,6000,36
84,2,5,7000,35
85,2,5,8000,36
86,2,5,9000,38
87,2,5,10000,36
88,2,6,0,34
89,2,6,1000,26
90,2,6,2000,26
91,2,6,3000,37
92,2,6,4000,28
93,2,6,5000,28
94,2,6,6000,31
95,2,6,7000,30
96,2,6,8000,33
97,2,6,9000,32
98,2,6,10000,29
99,3,4,0,36
100,3,4,1000,35
101,3,4,2000,34
102,3,4,3000,36
103,3,4,4000,34
104,3,4,5000,32
105,3,4,6000,33
106,3,4,7000,36
107,3,4,8000,36
108,3,4,9000,38
109,3,4,10000,41
110,3,5,0,36
111,3,5,1000,33
112,3,5,2000,36
113,3,5,3000,36
114,3,5,4000,33
115,3,5,5000,36
116,3,5,6000,36
117,3,5,7000,38
118,3,5,8000,35
119,3,5,9000,38
120,3,5,10000,41
121,3,6,0,34
122,3,6,1000,32
123,3,6,2000,32
124,3,6,3000,36
125,3,6,4000,32
126,3,6,5000,32
127,3,6,6000,31
128,3,6,7000,32
129,3,6,8000,35
130,3,6,9000,34
131,3,6,10000,37
132,4,4,0,28
133,4,4,1000,32
134,4,4,2000,33
135,4,4,3000,30
136,4,4,4000,33
137,4,4,5000,34
138,4,4,6000,35
139,4,4,7000,31
140,4,4,8000,36
141,4,4,9000,34
142,4,4,10000,34
143,4,5,0,29
144,4,5,1000,33
145,4,5,2000,33
146,4,5,3000,31
147,4,5,4000,34
148,4,5,5000,35
149,4,5,6000,33
150,4,5,7000,33
151,4,5,8000,38
152,4,5,9000,40
153,4,5,10000,35
154,4,6,0,25
155,4,6,1000,30
156,4,6,2000,31
157,4,6,3000,27
158,4,6,4000,32
159,4,6,5000,30
160,4,6,6000,31
161,4,6,7000,29
162,4,6,8000,32
163,4,6,9000,34
164,4,6,10000,31
165,5,4,0,30
166,5,4,1000,36
167,5,4,2000,35
168,5,4,3000,34
169,5,4,4000,35
170,5,4,5000,35
171,5,4,6000,35
172,5,4,7000,35
173,5,4,8000,40
174,5,4,9000,37
175,5,4,10000,35
176,5,5,0,30
177,5,5,1000,38
178,5,5,2000,37
179,5,5,3000,34
180,5,5,4000,35
181,5,5,5000,36
182,5,5,6000,36
183,5,5,7000,34
184,5,5,8000,40
185,5,5,9000,43
186,5,5,10000,38
187,5,6,0,27
188,5,6,1000,36
189,5,6,2000,34
190,5,6,3000,32
191,5,6,4000,31
192,5,6,5000,33
193,5,6,6000,33
194,5,6,7000,33
195,5,6,8000,36
196,5,6,9000,35
197,5,6,10000,33
198,6,4,0,32
199,6,4,1000,33
200,6,4,2000,36
201,6,4,3000,34
202,6,4,4000,35
203,6,4,5000,33
204,6,4,6000,33
205,6,4,7000,35
206,6,4,8000,35
207,6,4,9000,33
208,6,4,10000,35
209,6,5,0,31
210,6,5,1000,32
211,6,5,2000,37
212,6,5,3000,35
213,6,5,4000,34
214,6,5,5000,36
215,6,5,6000,33
216,6,5,7000,34
217,6,5,8000,36
218,6,5,9000,35
219,6,5,10000,37
220,6,6,0,27
221,6,6,1000,33
222,6,6,2000,34
223,6,6,3000,32
224,6,6,4000,31
225,6,6,5000,29
226,6,6,6000,31
227,6,6,7000,31
228,6,6,8000,33
229,6,6,9000,31
230,6,6,10000,32
231,7,4,0,30
232,7,4,1000,31
233,7,4,2000,36
234,7,4,3000,38
235,7,4,4000,36
236,7,4,5000,31
237,7,4,6000,35
238,7,4,7000,37
239,7,4,8000,32
