task_id,WL,Retention,PEC,num_points
0,0,1,0,28
1,0,1,1000,28
2,0,1,2000,32
3,0,1,3000,32
4,0,1,4000,34
5,0,1,5000,32
6,0,1,6000,33
7,0,1,7000,32
8,0,1,8000,31
9,0,1,9000,35
10,0,1,10000,33
11,0,2,0,28
12,0,2,1000,27
13,0,2,2000,34
14,0,2,3000,34
15,0,2,4000,35
16,0,2,5000,33
17,0,2,6000,35
18,0,2,7000,36
19,0,2,8000,33
20,0,2,9000,39
21,0,2,10000,34
22,0,3,0,28
23,0,3,1000,26
24,0,3,2000,33
25,0,3,3000,34
26,0,3,4000,34
27,0,3,5000,32
28,0,3,6000,34
29,0,3,7000,34
30,0,3,8000,33
31,0,3,9000,36
32,0,3,10000,37
33,1,1,0,27
34,1,1,1000,28
35,1,1,2000,34
36,1,1,3000,33
37,1,1,4000,31
38,1,1,5000,30
39,1,1,6000,32
40,1,1,7000,31
41,1,1,8000,34
42,1,1,9000,37
43,1,1,10000,33
44,1,2,0,32
45,1,2,1000,35
46,1,2,2000,37
47,1,2,3000,34
48,1,2,4000,35
49,1,2,5000,35
50,1,2,6000,34
51,1,2,7000,37
52,1,2,8000,38
53,1,2,9000,38
54,1,2,10000,36
55,1,3,0,32
56,1,3,1000,35
57,1,3,2000,38
58,1,3,3000,35
59,1,3,4000,35
60,1,3,5000,34
61,1,3,6000,34
62,1,3,7000,36
63,1,3,8000,38
64,1,3,9000,39
65,1,3,10000,36
66,2,1,0,29
67,2,1,1000,31
68,2,1,2000,28
69,2,1,3000,35
70,2,1,4000,29
71,2,1,5000,33
72,2,1,6000,31
73,2,1,7000,31
74,2,1,8000,31
75,2,1,9000,34
76,2,1,10000,32
77,2,2,0,31
78,2,2,1000,30
79,2,2,2000,35
80,2,2,3000,39
81,2,2,4000,29
82,2,2,5000,31
83,2,2,6000,35
84,2,2,7000,32
85,2,2,8000,34
86,2,2,9000,36
87,2,2,10000,32
88,2,3,0,29
89,2,3,1000,31
90,2,3,2000,32
91,2,3,3000,37
92,2,3,4000,30
93,2,3,5000,32
94,2,3,6000,33
95,2,3,7000,33
96,2,3,8000,34
97,2,3,9000,35
98,2,3,10000,33
99,3,1,0,32
100,3,1,1000,26
101,3,1,2000,36
102,3,1,3000,34
103,3,1,4000,32
104,3,1,5000,31
105,3,1,6000,31
106,3,1,7000,34
107,3,1,8000,33
108,3,1,9000,33
109,3,1,10000,34
110,3,2,0,35
111,3,2,1000,33
112,3,2,2000,34
113,3,2,3000,37
114,3,2,4000,33
115,3,2,5000,33
116,3,2,6000,34
117,3,2,7000,35
118,3,2,8000,36
119,3,2,9000,39
120,3,2,10000,41
121,3,3,0,37
122,3,3,1000,35
123,3,3,2000,34
124,3,3,3000,37
125,3,3,4000,32
126,3,3,5000,33
127,3,3,6000,32
128,3,3,7000,36
129,3,3,8000,35
130,3,3,9000,37
131,3,3,10000,38
132,4,1,0,25
133,4,1,1000,30
134,4,1,2000,32
135,4,1,3000,27
136,4,1,4000,33
137,4,1,5000,32
138,4,1,6000,31
139,4,1,7000,30
140,4,1,8000,35
141,4,1,9000,35
142,4,1,10000,31
143,4,2,0,28
144,4,2,1000,32
145,4,2,2000,33
146,4,2,3000,33
147,4,2,4000,33
148,4,2,5000,33
149,4,2,6000,34
150,4,2,7000,32
151,4,2,8000,33
152,4,2,9000,36
153,4,2,10000,34
154,4,3,0,29
155,4,3,1000,32
156,4,3,2000,33
157,4,3,3000,31
158,4,3,4000,34
159,4,3,5000,34
160,4,3,6000,34
161,4,3,7000,32
162,4,3,8000,36
163,4,3,9000,36
164,4,3,10000,35
165,5,1,0,26
166,5,1,1000,34
167,5,1,2000,35
168,5,1,3000,30
169,5,1,4000,33
170,5,1,5000,33
171,5,1,6000,32
172,5,1,7000,32
173,5,1,8000,35
174,5,1,9000,35
175,5,1,10000,32
176,5,2,0,29
177,5,2,1000,37
178,5,2,2000,35
179,5,2,3000,35
180,5,2,4000,36
181,5,2,5000,32
182,5,2,6000,36
183,5,2,7000,35
184,5,2,8000,37
185,5,2,9000,37
186,5,2,10000,33
187,5,3,0,29
188,5,3,1000,37
189,5,3,2000,36
190,5,3,3000,35
191,5,3,4000,35
192,5,3,5000,34
193,5,3,6000,36
194,5,3,7000,35
195,5,3,8000,38
196,5,3,9000,38
197,5,3,10000,34
198,6,1,0,28
199,6,1,1000,28
200,6,1,2000,34
201,6,1,3000,31
202,6,1,4000,30
203,6,1,5000,30
204,6,1,6000,32
205,6,1,7000,31
206,6,1,8000,30
207,6,1,9000,33
208,6,1,10000,32
209,6,2,0,30
210,6,2,1000,32
211,6,2,2000,38
212,6,2,3000,37
213,6,2,4000,35
214,6,2,5000,34
215,6,2,6000,35
216,6,2,7000,34
217,6,2,8000,33
218,6,2,9000,34
219,6,2,10000,33
220,6,3,0,31
221,6,3,1000,33
222,6,3,2000,38
223,6,3,3000,35
224,6,3,4000,32
225,6,3,5000,35
226,6,3,6000,33
227,6,3,7000,34
228,6,3,8000,34
229,6,3,9000,35
230,6,3,10000,33
231,7,1,0,26
232,7,1,1000,28
233,7,1,2000,33
234,7,1,3000,36
235,7,1,4000,34
236,7,1,5000,30
237,7,1,6000,32
238,7,1,7000,31
239,7,1,8000,33
240,7,1,9000,35
241,7,1,10000,34
242,7,2,0,30
243,7,2,1000,30
244,7,2,2000,34
245,7,2,3000,38
