task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
724,21,3,9000,23,,0,50,0.003292383626103401,0.00329229817725718,490.13739013671875,22.139047622680664,12.698702812194824,0.9995804964868237,23
752,22,3,4000,21,,0,140,0.0013204979477450252,0.0013204979477450252,1879.5709228515625,43.35401916503906,22.978147506713867,0.9984798105566132,21
794,24,1,2000,19,,0,109,0.0006278511718846858,0.0006277823122218251,1518.330322265625,38.96575927734375,23.066164016723633,0.9988748096549249,19
1082,32,3,4000,22,,0,60,0.0031638159416615963,0.0031638159416615963,2268.755615234375,47.63145446777344,27.257049560546875,0.997999306877065,22
1699,51,2,5000,20,,0,30,0.002208092249929905,0.0022077527828514576,5167.39404296875,71.88459014892578,41.779869079589844,0.9960735298302609,20
3651,110,2,10000,22,,0,69,0.0006786239100620151,0.0006783301359973848,1200.7166748046875,34.65135955810547,20.486351013183594,0.9989955876057522,22
3700,112,1,4000,20,,0,25,0.0044506872072815895,0.004450314212590456,5652.9091796875,75.18582916259766,46.268394470214844,0.9955451344923401,20
3804,115,1,9000,19,,0,82,0.00045910599874332547,0.00045889680041000247,1359.3134765625,36.86886978149414,22.734394073486328,0.9989048721939707,19
4334,131,2,0,19,,0,120,0.0006582924397662282,0.0006582332425750792,1114.0242919921875,33.37700271606445,18.712629318237305,0.9991863401244948,19
4442,134,2,9000,21,,0,98,0.0006930763483978808,0.0006921987514942884,1328.39990234375,36.44721984863281,22.716556549072266,0.9989284010571599,21
5518,167,1,7000,19,,0,77,0.00010993618343491107,0.00010923716763500124,274.2001953125,16.558990478515625,7.475285530090332,0.9997891786202788,19
5882,178,1,8000,20,,0,101,0.0011879324447363615,0.0011876835487782955,4759.52685546875,68.98932647705078,33.47313690185547,0.9962766666306593,20
6057,183,2,7000,20,,0,140,0.000799445784650743,0.000799445784650743,3718.70849609375,60.9812126159668,38.10646438598633,0.9970043382434821,20
6210,188,1,6000,20,,0,76,0.0033153616823256016,0.0033153616823256016,2983.749267578125,54.62370681762695,28.117685317993164,0.9976092046301727,20
6425,194,3,1000,20,,0,54,0.0014541886048391461,0.0014535633381456137,3022.343505859375,54.97584533691406,34.284950256347656,0.9974471006476462,20
6524,197,3,1000,18,,0,30,0.002280784770846367,0.002280784770846367,5310.19482421875,72.87108612060547,37.53602981567383,0.9957140523056224,18
6637,201,1,4000,20,,0,136,0.0007727559423074126,0.0007718723500147462,3164.39501953125,56.25295639038086,31.545883178710938,0.9973042149643083,20
7093,214,3,9000,21,,0,61,0.001436823047697544,0.0014366331743076444,2154.589111328125,46.41755294799805,27.264009475708008,0.9980193542512307,21
7241,219,2,3000,18,,0,73,0.0014741542981937528,0.001473942887969315,6975.82861328125,83.52142333984375,46.84673309326172,0.994179994813633,18
8234,249,2,6000,20,,0,130,0.00025208358420059085,0.000251586374361068,486.1939392089844,22.049806594848633,13.227523803710938,0.999570569800409,20
