步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
1,255,2,6,10000,0,1,34.68279578059719,1678.496268562245,-1563.5310693470901,-173.31041179167337,-2.720715639305803,95.74872399642153
2,255,2,6,10000,0,6,34.68279578059719,1678.496268562245,-1563.5310693470901,-173.31041179167337,-2.720715639305803,95.74872399642153
3,255,2,6,10000,0,41,34.68279578059742,1678.496268562245,-1562.3793930824845,-173.79567480622137,-2.720715639305803,95.0823107463642
4,255,2,6,10000,0,136,109.17881639501388,1678.496268562245,-1509.6576705904474,-157.95351080947205,-4.454343624855677,102.74807285754433
5,255,2,6,10000,0,400,320.2313936626788,1678.496268562245,-1297.653995401707,-217.53688282913217,-4.957526756004108,161.88353008727728
6,255,2,6,10000,0,850,719.7601167490919,1678.496268562245,-832.5348496593913,-324.6597841606187,-60.332246515300355,258.79072852215734
7,255,2,6,10000,0,1748,1560.0971080442298,1678.496268562245,-123.83811246151308,-339.8064597703574,-55.06361895225385,400.30903066610915
8,255,2,6,10000,0,2382,2446.8523316369947,1678.496268562245,661.3417829718848,-249.51024296705185,-23.068490873850266,379.59301394376735
9,255,2,6,10000,0,2973,2443.1956919714908,1678.496268562245,870.588963300278,-324.75635156478586,-33.0641732855211,251.93098495927484
10,255,2,6,10000,0,3039,2662.4298240897415,1678.496268562245,1130.8117839318336,-238.29467909305663,2.425656617656945,88.99079407106241
11,255,2,6,10000,0,2788,2662.4298240897415,1678.496268562245,1011.7323169362885,-89.76284589604211,6.141901701762748,55.822182785487264
12,255,2,6,10000,0,2256,2418.9916206358093,1678.496268562245,736.2392495947454,4.788820775683462,21.18814029014863,-21.720858587013105
13,255,2,6,10000,0,1410,1659.7345928199247,1678.496268562245,46.41349525148328,60.484023824686524,-3.7948700665939104,-121.86432475189599
14,255,2,6,10000,0,901,1271.162702015257,1678.496268562245,-417.72874385385927,77.9851171293698,13.926329783902624,-81.5162696064011
15,255,2,6,10000,0,470,733.4341641671776,1678.496268562245,-907.8903166852072,6.260144764538981,1.5136491969846144,-44.94558167138375
16,255,2,6,10000,0,192,449.9592429333304,1678.496268562245,-1238.5461399400579,-20.125465459521926,-0.9629004171942177,31.097480187859503
17,255,2,6,10000,0,81,340.5515481253965,1678.496268562245,-1375.0144012741625,-40.20295210419977,25.135880784449903,52.136752157063995
