model_index,curve_family,label,method,task_count,point_r2,task_mean_r2,task_median_r2,point_rmse,point_mae,frac_test_r2_gt_0_9,frac_test_r2_lt_0,p05_test_r2,mean_test_rmse,mean_test_mae,mean_abs_peak_step_error,mean_tail_rmse_pct_peak
2,P1,P1 / M2,gaussian,8448,0.9939011846033071,0.9937525889612887,0.9957796710470339,72.81220180617747,44.78588156535778,0.9998816287878788,0.0,0.9811254089194893,64.0880956840008,44.7621996351149,0.3184185606060606,0.9532214796725279
2,P1,P1 / M2,proposed_validation_selected,8448,0.9747341313721908,0.9752509173264761,0.9907587055684552,148.2001190185547,73.7151870727539,0.9481534090909091,0.00011837121212121212,0.8980042735238639,113.14077727293426,74.00325089158264,0.3997395833333333,0.28887108644765297
2,P1,P1 / M2,spline,8448,0.9902018284884113,0.9892871342222673,0.9938548637398122,92.28984970482868,51.92561503545009,0.9975142045454546,0.0,0.9635949643766668,79.28272846188472,51.89548608456328,0.022608901515151516,0.09858967571726075
3,P2,P2 / M3,gaussian,8448,0.9951136697282741,0.9945664693410741,0.9968789212641924,72.72705279405163,43.38247903719172,0.9998816287878788,0.0,0.9817527156974772,63.645737560419754,43.64805443256183,0.2838541666666667,0.6239937424803952
3,P2,P2 / M3,proposed_validation_selected,8448,0.980672556684435,0.9783535241650358,0.9922743458684893,144.64112854003906,67.1281967163086,0.9659090909090909,0.0005918560606060606,0.9200946865809665,112.17820800095797,67.47015701804423,0.3457623106060606,0.2223184918373647
3,P2,P2 / M3,spline,8448,0.9916611295730784,0.9905142914170577,0.9950029836093701,95.00756605718622,49.57595318228394,0.9982244318181818,0.0,0.9665326879229723,81.15756397173423,50.01859435318468,0.1629971590909091,0.057198700059956774
4,P3,P3 / M4,gaussian,8448,0.9934684937133813,0.9923896310662351,0.9961784424719231,84.69120439804945,48.762165626582885,0.9955018939393939,0.0,0.9786827467686988,71.73068476374091,49.028993018669794,0.29142992424242425,0.5493144189717097
4,P3,P3 / M4,proposed_validation_selected,8448,0.9737427721848402,0.9687631636634394,0.990913194300946,169.80718994140625,72.59545135498047,0.9451941287878788,0.001065340909090909,0.8920355349345189,125.3272174311322,73.31625218110892,0.3599668560606061,0.21832952693426874
4,P3,P3 / M4,spline,8448,0.9909028471349799,0.9889671632959863,0.9956933841568519,99.95036413959113,48.047377629025334,0.989938446969697,0.00023674242424242425,0.9646442422503424,80.12216510984614,48.42120420428031,0.16074810606060605,0.0468808687686462
5,P4,P4 / M5,gaussian,8448,0.993418393821177,0.9929885999132207,0.9957358463603365,84.37371932071558,47.61414845449199,0.9998816287878788,0.0,0.9779508645271129,72.5887006373345,47.62382367878197,0.3116714015151515,0.42050113645321074
5,P4,P4 / M5,proposed_validation_selected,8448,0.9708072206688118,0.9673519379077653,0.9889364033845364,177.696533203125,77.49824523925781,0.9283854166666666,0.0008285984848484849,0.8730352560038098,135.17025220821697,77.5973134812278,0.38304924242424243,0.16723133608119573
5,P4,P4 / M5,spline,8448,0.990007153954976,0.989060688264137,0.9937704328608536,103.96468597631552,51.992582136466815,0.9976325757575758,0.0,0.9642011250549185,87.60218750804277,52.05157667254013,0.15897253787878787,0.05078415759656286
6,P5,P5 / M6,gaussian,8448,0.9954532609803605,0.9949292908044122,0.9971091850724365,65.39673850811596,37.778539819859176,1.0,0.0,0.9830064540632288,56.57398984149832,37.808787914438376,0.27201704545454547,0.3897922844666332
6,P5,P5 / M6,proposed_validation_selected,8448,0.977158945049664,0.9746187667302229,0.9910762442983787,146.57643127441406,67.04287719726562,0.9530066287878788,0.0003551136363636364,0.9034666918988924,112.28381444886327,67.29124222599873,0.39985795454545453,0.20092743241724773
6,P5,P5 / M6,spline,8448,0.9913020757743929,0.9900333359524971,0.9945507762974001,90.45110694956955,48.137216964755844,0.998342803030303,0.0,0.964518598606802,77.80099638643254,48.49421188950809,0.13719223484848486,0.05664831205182297
7,P6,P6 / M7,gaussian,8448,0.9931655382820442,0.9922942576104793,0.9955560977558683,79.82136112018308,46.65693054269439,0.9988162878787878,0.0,0.9749164125460459,69.91008569291023,46.78724496600454,0.3391335227272727,0.5351958852657148
7,P6,P6 / M7,proposed_validation_selected,8448,0.9767116907622068,0.9738800350186779,0.989294801464697,147.34518432617188,69.35636901855469,0.9511126893939394,0.0003551136363636364,0.902165740220774,118.71783919796121,70.05791503425236,0.4500473484848485,0.22581457649892692
7,P6,P6 / M7,spline,8448,0.9879201880977269,0.9863435453042974,0.992657690395961,106.11995507051519,55.501052526588275,0.9924242424242424,0.0,0.9542699686915674,91.41434444279237,55.96693310347359,0.17909564393939395,0.05975247322774208
8,P7,P7 / M8,gaussian,8448,0.994101988714674,0.9939109898503291,0.996139352025788,58.63438193808792,33.3920983401503,1.0,0.0,0.9812712772371845,52.612301982828605,33.712710279608196,0.4817708333333333,0.6599453058547481
8,P7,P7 / M8,proposed_validation_selected,8448,0.9877227954879082,0.9875371773856717,0.9937353798734261,84.59589385986328,40.912200927734375,0.9917140151515151,0.00011837121212121212,0.9588966727874009,70.9983233497337,41.562444933012806,0.5523200757575758,0.2944283439835464
8,P7,P7 / M8,spline,8448,0.9885159926213847,0.9882849596132653,0.9927654002623839,81.81751475544742,42.04803121835712,0.9972774621212122,0.0,0.9616164028364129,72.1619600519857,42.573780623361856,0.22869318181818182,0.1588753071478361
