order,method,method_label,point_r2,task_mean_r2,task_median_r2,p05_test_r2,frac_test_r2_gt_0_9,frac_test_r2_lt_0,mean_abs_peak_step_error,mean_tail_rmse_pct_peak,mean_tail_symmetric_kl,P2 / M3,P4 / M5,P7 / M8
0,full_proposed,Full proposed,0.9829639169680927,0.9805369424647304,0.992043932323626,0.9346799982845955,0.9755555555555556,0.0,0.43555555555555553,0.23386419763444563,0.022391474254710577,0.9824658627986078,0.9709292696599626,0.9882156949356208
1,remove_pec,Remove PEC,0.9797581375902217,0.9668670746389815,0.992034023379991,0.9033624635156182,0.9622222222222222,0.0022222222222222,0.40888888888888886,0.21686097404477178,0.022097288039571752,0.9832947983288056,0.9269802049078212,0.990326220680318
2,remove_wl,Remove WL,0.9761970972633313,0.9687788007472063,0.9914287327594105,0.9028133816796591,0.9533333333333333,0.0044444444444444,0.43111111111111117,0.2297448154582191,0.02312459180358985,0.9612711628815852,0.9565481894536848,0.9885170499063493
3,remove_retention,Remove retention,0.9810261401046722,0.9777592939573291,0.9913799066338482,0.9192264193406494,0.9466666666666667,0.0,0.45555555555555555,0.2335414874043619,0.022152005914585188,0.9779699775047446,0.9662833832642836,0.9890245211029592
4,shuffle_pec,Shuffle PEC,0.9814106673118198,0.97919236140376,0.9919883912356804,0.9106285862360651,0.96,0.0,0.44,0.224310964113267,0.022453823395145716,0.9788787100008092,0.967706036949049,0.9909923372614216
5,source_pooled_mlp,Source-pretrained MLP,0.9854693555334014,0.9851066292277428,0.9927262276481793,0.9507750266261374,0.98,0.0,0.3977777777777778,0.2305532398019932,0.023681767337694754,0.9855940648148476,0.9790302645848172,0.9906955582835636
6,nearest_parameter_transfer,Nearest transfer,-10.680368989200872,-16.725925278849754,0.9912342757156459,0.9122655578159952,0.9533333333333333,0.015555555555555498,0.5511111111111111,3.7462748219034308,0.06508880805255307,0.9529164383303288,-52.08682891029494,0.956136635415348
7,hypernetwork_parameter,Hypernetwork,-267.4573538594755,-292.39105587592275,0.92062464886556,-2339.2256850996714,0.5244444444444444,0.30666666666666664,3.297777777777778,30.331376929656187,0.4584013432906347,-106.0952926163802,-128.41145744608392,-642.6664175653041
8,unfactorized_mlp,Unfactorized MLP,0.9903372309832958,0.989410161473037,0.9939631663238822,0.9602375241322032,0.9977777777777778,0.0,0.38888888888888884,0.3853905835255731,0.033364641701485925,0.9870497349894116,0.9890978261852889,0.9920829232444104
9,scratch_only,Scratch-only,0.9766552847881633,0.9762107916165946,0.9905714049158472,0.9023063324766772,0.96,0.0,0.4022222222222222,0.2107028165464028,0.02436346845241544,0.9782706732059434,0.9635379716393624,0.9868237300044782
