model_index,curve_family,label,run_kind,target_task_count,point_r2,task_mean_r2,task_median_r2,point_rmse,point_mae
2,P1,P1 / M2,full8448,8448,0.9747341313721908,0.9752509173264761,0.9907587055684552,148.2001190185547,73.7151870727539
2,P1,P1 / M2,subset150,150,0.9733710645187343,0.9726641259598333,0.9890500989440145,150.5267791748047,76.28791046142578
3,P2,P2 / M3,full8448,8448,0.980672556684435,0.9783535241650358,0.9922743458684893,144.64112854003906,67.1281967163086
3,P2,P2 / M3,subset150,150,0.9805254465125524,0.9801821292846006,0.9931507936588989,145.24472045898438,65.86112976074219
4,P3,P3 / M4,full8448,8448,0.9737427721848402,0.9687631636634394,0.990913194300946,169.80718994140625,72.59545135498047
4,P3,P3 / M4,subset150,150,0.973457663886337,0.9673664470823848,0.990894931851958,170.02178955078125,74.0248031616211
5,P4,P4 / M5,full8448,8448,0.9708072206688118,0.9673519379077653,0.9889364033845364,177.696533203125,77.49824523925781
5,P4,P4 / M5,subset150,150,0.9643150437624236,0.9590037055894634,0.986900366001792,197.76522827148438,82.83343505859375
6,P5,P5 / M6,full8448,8448,0.977158945049664,0.9746187667302229,0.9910762442983787,146.57643127441406,67.04287719726562
6,P5,P5 / M6,subset150,150,0.9569721493030848,0.9434378331105885,0.9899383293577038,199.881103515625,79.21729278564453
7,P6,P6 / M7,full8448,8448,0.9767116907622068,0.9738800350186779,0.989294801464697,147.34518432617188,69.35636901855469
7,P6,P6 / M7,subset150,150,0.9743326936918921,0.9703113169739851,0.9882869905459113,154.69007873535156,72.83131408691406
8,P7,P7 / M8,full8448,8448,0.9877227954879082,0.9875371773856717,0.9937353798734261,84.59589385986328,40.912200927734375
8,P7,P7 / M8,subset150,150,0.9881915985604692,0.9879455983163321,0.9947928822945076,82.45109558105469,40.43137741088867
